horizon,stock,n,DA,BA,P,R,F1,MCC,MAE
1,ENEL_logret,60,0.767000,0.763000,0.826000,0.655000,0.731000,0.541000,0.038000
2,ENEL_logret,60,0.767000,0.753000,0.773000,0.654000,0.708000,0.521000,0.041000
3,ENEL_logret,60,0.733000,0.724000,0.708000,0.654000,0.680000,0.453000,0.052000
4,ENEL_logret,60,0.833000,0.821000,0.864000,0.731000,0.792000,0.661000,0.044000
5,ENEL_logret,60,0.750000,0.750000,0.857000,0.600000,0.706000,0.524000,0.055000
6,ENEL_logret,60,0.600000,0.598000,0.593000,0.552000,0.571000,0.198000,0.061000
7,ENEL_logret,60,0.700000,0.697000,0.720000,0.621000,0.667000,0.400000,0.063000
8,ENEL_logret,60,0.633000,0.636000,0.680000,0.548000,0.607000,0.276000,0.066000
9,ENEL_logret,60,0.600000,0.603000,0.640000,0.516000,0.571000,0.209000,0.069000
10,ENEL_logret,60,0.550000,0.550000,0.556000,0.500000,0.526000,0.101000,0.076000
11,ENEL_logret,60,0.517000,0.518000,0.536000,0.484000,0.508000,0.036000,0.080000
12,ENEL_logret,60,0.517000,0.517000,0.500000,0.517000,0.508000,0.033000,0.085000
13,ENEL_logret,60,0.433000,0.433000,0.400000,0.429000,0.414000,-0.134000,0.083000
14,ENEL_logret,60,0.500000,0.495000,0.429000,0.462000,0.444000,-0.009000,0.085000
15,ENEL_logret,60,0.483000,0.483000,0.500000,0.484000,0.492000,-0.033000,0.087000
16,ENEL_logret,60,0.433000,0.433000,0.414000,0.414000,0.414000,-0.135000,0.089000
17,ENEL_logret,60,0.500000,0.500000,0.433000,0.500000,0.464000,0.000000,0.078000
18,ENEL_logret,60,0.500000,0.505000,0.455000,0.556000,0.500000,0.010000,0.078000
19,ENEL_logret,60,0.383000,0.383000,0.370000,0.333000,0.351000,-0.235000,0.079000
20,ENEL_logret,60,0.400000,0.400000,0.387000,0.414000,0.400000,-0.199000,0.081000
1,NKT_logret,60,0.750000,0.742000,0.750000,0.818000,0.783000,0.492000,0.050000
2,NKT_logret,60,0.633000,0.611000,0.667000,0.743000,0.703000,0.230000,0.067000
3,NKT_logret,60,0.633000,0.620000,0.714000,0.676000,0.694000,0.238000,0.091000
4,NKT_logret,60,0.650000,0.628000,0.730000,0.711000,0.720000,0.254000,0.079000
5,NKT_logret,60,0.567000,0.546000,0.686000,0.615000,0.649000,0.089000,0.095000
6,NKT_logret,60,0.600000,0.569000,0.684000,0.684000,0.684000,0.139000,0.102000
7,NKT_logret,60,0.583000,0.569000,0.657000,0.639000,0.648000,0.138000,0.107000
8,NKT_logret,60,0.550000,0.528000,0.622000,0.639000,0.630000,0.056000,0.110000
9,NKT_logret,60,0.533000,0.521000,0.618000,0.583000,0.600000,0.041000,0.114000
10,NKT_logret,60,0.567000,0.559000,0.600000,0.636000,0.618000,0.119000,0.106000
11,NKT_logret,60,0.667000,0.663000,0.676000,0.719000,0.697000,0.328000,0.100000
12,NKT_logret,60,0.583000,0.580000,0.606000,0.625000,0.615000,0.161000,0.111000
13,NKT_logret,60,0.583000,0.576000,0.595000,0.688000,0.638000,0.156000,0.111000
14,NKT_logret,60,0.550000,0.542000,0.568000,0.656000,0.609000,0.087000,0.110000
15,NKT_logret,60,0.533000,0.522000,0.568000,0.636000,0.600000,0.045000,0.110000
16,NKT_logret,60,0.483000,0.472000,0.543000,0.559000,0.551000,-0.057000,0.130000
17,NKT_logret,60,0.567000,0.549000,0.622000,0.657000,0.639000,0.099000,0.112000
18,NKT_logret,60,0.483000,0.449000,0.579000,0.595000,0.587000,-0.102000,0.115000
19,NKT_logret,60,0.550000,0.520000,0.632000,0.649000,0.640000,0.040000,0.127000
20,NKT_logret,60,0.533000,0.516000,0.579000,0.647000,0.611000,0.033000,0.133000
1,VWS_logret,60,0.783000,0.788000,0.852000,0.719000,0.780000,0.578000,0.055000
2,VWS_logret,60,0.783000,0.783000,0.774000,0.800000,0.787000,0.567000,0.064000
3,VWS_logret,60,0.783000,0.790000,0.719000,0.852000,0.780000,0.578000,0.077000
4,VWS_logret,60,0.733000,0.733000,0.719000,0.767000,0.742000,0.468000,0.074000
5,VWS_logret,60,0.733000,0.732000,0.750000,0.750000,0.750000,0.464000,0.082000
