horizon,stock,n,DA,BA,P,R,F1,MCC,MAE
1,ENEL_logret,60,0.783000,0.781000,0.808000,0.724000,0.764000,0.568000,0.038000
2,ENEL_logret,60,0.767000,0.767000,0.714000,0.769000,0.741000,0.530000,0.038000
3,ENEL_logret,60,0.783000,0.786000,0.724000,0.808000,0.764000,0.568000,0.040000
4,ENEL_logret,60,0.767000,0.767000,0.714000,0.769000,0.741000,0.530000,0.048000
5,ENEL_logret,60,0.733000,0.733000,0.769000,0.667000,0.714000,0.471000,0.050000
6,ENEL_logret,60,0.733000,0.733000,0.724000,0.724000,0.724000,0.466000,0.048000
7,ENEL_logret,60,0.683000,0.684000,0.667000,0.690000,0.678000,0.367000,0.052000
8,ENEL_logret,60,0.667000,0.667000,0.690000,0.645000,0.667000,0.335000,0.060000
9,ENEL_logret,60,0.683000,0.685000,0.714000,0.645000,0.678000,0.370000,0.060000
10,ENEL_logret,60,0.617000,0.617000,0.621000,0.600000,0.610000,0.233000,0.066000
11,ENEL_logret,60,0.517000,0.520000,0.542000,0.419000,0.473000,0.041000,0.068000
12,ENEL_logret,60,0.550000,0.548000,0.538000,0.483000,0.509000,0.096000,0.070000
13,ENEL_logret,60,0.483000,0.480000,0.444000,0.429000,0.436000,-0.040000,0.072000
14,ENEL_logret,60,0.467000,0.457000,0.385000,0.385000,0.385000,-0.086000,0.078000
15,ENEL_logret,60,0.467000,0.468000,0.481000,0.419000,0.448000,-0.064000,0.073000
16,ENEL_logret,60,0.400000,0.400000,0.387000,0.414000,0.400000,-0.199000,0.070000
17,ENEL_logret,60,0.517000,0.510000,0.444000,0.462000,0.453000,0.020000,0.067000
18,ENEL_logret,60,0.483000,0.476000,0.423000,0.407000,0.415000,-0.047000,0.066000
19,ENEL_logret,60,0.400000,0.400000,0.375000,0.300000,0.333000,-0.204000,0.069000
20,ENEL_logret,60,0.417000,0.415000,0.393000,0.379000,0.386000,-0.169000,0.070000
1,NKT_logret,60,0.767000,0.764000,0.788000,0.788000,0.788000,0.529000,0.060000
2,NKT_logret,60,0.683000,0.683000,0.750000,0.686000,0.716000,0.361000,0.069000
3,NKT_logret,60,0.667000,0.664000,0.758000,0.676000,0.714000,0.320000,0.077000
4,NKT_logret,60,0.650000,0.657000,0.774000,0.632000,0.696000,0.302000,0.085000
5,NKT_logret,60,0.617000,0.628000,0.767000,0.590000,0.667000,0.245000,0.094000
6,NKT_logret,60,0.650000,0.666000,0.793000,0.605000,0.687000,0.321000,0.098000
7,NKT_logret,60,0.567000,0.583000,0.692000,0.500000,0.581000,0.165000,0.106000
8,NKT_logret,60,0.567000,0.583000,0.692000,0.500000,0.581000,0.165000,0.110000
9,NKT_logret,60,0.617000,0.625000,0.724000,0.583000,0.646000,0.245000,0.105000
10,NKT_logret,60,0.533000,0.542000,0.600000,0.455000,0.517000,0.085000,0.106000
11,NKT_logret,60,0.600000,0.598000,0.625000,0.625000,0.625000,0.196000,0.100000
12,NKT_logret,60,0.533000,0.536000,0.571000,0.500000,0.533000,0.071000,0.114000
13,NKT_logret,60,0.517000,0.520000,0.556000,0.469000,0.508000,0.040000,0.116000
14,NKT_logret,60,0.500000,0.502000,0.536000,0.469000,0.500000,0.004000,0.112000
15,NKT_logret,60,0.483000,0.476000,0.529000,0.545000,0.537000,-0.047000,0.102000
16,NKT_logret,60,0.450000,0.451000,0.517000,0.441000,0.476000,-0.096000,0.115000
17,NKT_logret,60,0.483000,0.471000,0.559000,0.543000,0.551000,-0.057000,0.110000
18,NKT_logret,60,0.483000,0.466000,0.588000,0.541000,0.563000,-0.067000,0.108000
19,NKT_logret,60,0.483000,0.458000,0.583000,0.568000,0.575000,-0.084000,0.113000
20,NKT_logret,60,0.500000,0.491000,0.559000,0.559000,0.559000,-0.018000,0.119000
1,VWS_logret,60,0.817000,0.817000,0.839000,0.812000,0.825000,0.633000,0.052000
2,VWS_logret,60,0.883000,0.883000,0.897000,0.867000,0.881000,0.767000,0.055000
3,VWS_logret,60,0.817000,0.816000,0.786000,0.815000,0.800000,0.631000,0.065000
4,VWS_logret,60,0.800000,0.800000,0.800000,0.800000,0.800000,0.600000,0.061000
5,VWS_logret,60,0.700000,0.705000,0.769000,0.625000,0.690000,0.413000,0.071000
6,VWS_logret,60,0.683000,0.684000,0.700000,0.677000,0.689000,0.367000,0.080000
7,VWS_logret,60,0.667000,0.667000,0.645000,0.690000,0.667000,0.335000,0.078000
8,VWS_logret,60,0.600000,0.600000,0.607000,0.567000,0.586000,0.200000,0.085000
9,VWS_logret,60,0.617000,0.617000,0.621000,0.600000,0.610000,0.233000,0.094000
10,VWS_logret,60,0.583000,0.587000,0.630000,0.531000,0.576000,0.175000,0.096000
11,VWS_logret,60,0.667000,0.667000,0.633000,0.679000,0.655000,0.334000,0.103000
12,VWS_logret,60,0.600000,0.598000,0.571000,0.571000,0.571000,0.196000,0.113000
13,VWS_logret,60,0.550000,0.540000,0.480000,0.462000,0.471000,0.080000,0.112000
14,VWS_logret,60,0.567000,0.570000,0.600000,0.484000,0.536000,0.141000,0.099000
15,VWS_logret,60,0.517000,0.517000,0.520000,0.433000,0.473000,0.034000,0.101000
16,VWS_logret,60,0.550000,0.548000,0.538000,0.483000,0.509000,0.096000,0.099000
17,VWS_logret,60,0.567000,0.570000,0.600000,0.484000,0.536000,0.141000,0.103000
18,VWS_logret,60,0.583000,0.580000,0.556000,0.536000,0.545000,0.161000,0.107000
19,VWS_logret,60,0.533000,0.534000,0.516000,0.552000,0.533000,0.068000,0.105000
20,VWS_logret,60,0.517000,0.517000,0.519000,0.467000,0.491000,0.034000,0.108000
