horizon,stock,n,DA,BA,P,R,F1,MCC,MAE
1,ENEL_logret,60,0.483000,0.483000,0.467000,0.483000,0.475000,-0.033000,0.070000
2,ENEL_logret,60,0.550000,0.526000,0.474000,0.346000,0.400000,0.055000,0.068000
3,ENEL_logret,60,0.600000,0.615000,0.528000,0.731000,0.613000,0.233000,0.068000
4,ENEL_logret,60,0.483000,0.517000,0.444000,0.769000,0.563000,0.039000,0.073000
5,ENEL_logret,60,0.517000,0.517000,0.520000,0.433000,0.473000,0.034000,0.076000
6,ENEL_logret,60,0.483000,0.488000,0.474000,0.621000,0.537000,-0.025000,0.081000
7,ENEL_logret,60,0.483000,0.484000,0.469000,0.517000,0.492000,-0.031000,0.079000
8,ENEL_logret,60,0.500000,0.499000,0.516000,0.516000,0.516000,-0.001000,0.079000
9,ENEL_logret,60,0.500000,0.504000,0.522000,0.387000,0.444000,0.008000,0.081000
10,ENEL_logret,60,0.433000,0.433000,0.429000,0.400000,0.414000,-0.134000,0.086000
11,ENEL_logret,60,0.533000,0.537000,0.565000,0.419000,0.481000,0.077000,0.081000
12,ENEL_logret,60,0.517000,0.517000,0.500000,0.517000,0.508000,0.033000,0.083000
13,ENEL_logret,60,0.467000,0.462000,0.423000,0.393000,0.407000,-0.076000,0.082000
14,ENEL_logret,60,0.400000,0.398000,0.333000,0.385000,0.357000,-0.202000,0.087000
15,ENEL_logret,60,0.550000,0.543000,0.548000,0.742000,0.630000,0.095000,0.087000
16,ENEL_logret,60,0.417000,0.410000,0.333000,0.207000,0.255000,-0.197000,0.080000
17,ENEL_logret,60,0.533000,0.534000,0.467000,0.538000,0.500000,0.067000,0.078000
18,ENEL_logret,60,0.500000,0.488000,0.435000,0.370000,0.400000,-0.024000,0.078000
19,ENEL_logret,60,0.500000,0.500000,0.500000,0.367000,0.423000,0.000000,0.083000
20,ENEL_logret,60,0.400000,0.398000,0.370000,0.345000,0.357000,-0.204000,0.085000
1,NKT_logret,60,0.450000,0.429000,0.500000,0.636000,0.560000,-0.154000,0.124000
2,NKT_logret,60,0.533000,0.486000,0.574000,0.771000,0.659000,-0.034000,0.093000
3,NKT_logret,60,0.400000,0.390000,0.516000,0.432000,0.471000,-0.214000,0.124000
4,NKT_logret,60,0.467000,0.435000,0.583000,0.553000,0.568000,-0.127000,0.094000
5,NKT_logret,60,0.600000,0.582000,0.714000,0.641000,0.676000,0.159000,0.116000
6,NKT_logret,60,0.450000,0.413000,0.568000,0.553000,0.560000,-0.173000,0.112000
7,NKT_logret,60,0.483000,0.451000,0.564000,0.611000,0.587000,-0.100000,0.132000
8,NKT_logret,60,0.533000,0.514000,0.611000,0.611000,0.611000,0.028000,0.121000
9,NKT_logret,60,0.483000,0.431000,0.556000,0.694000,0.617000,-0.157000,0.135000
10,NKT_logret,60,0.450000,0.433000,0.500000,0.606000,0.548000,-0.142000,0.137000
11,NKT_logret,60,0.450000,0.442000,0.486000,0.562000,0.522000,-0.119000,0.128000
12,NKT_logret,60,0.400000,0.388000,0.450000,0.562000,0.500000,-0.236000,0.134000
13,NKT_logret,60,0.450000,0.444000,0.486000,0.531000,0.507000,-0.113000,0.122000
14,NKT_logret,60,0.467000,0.460000,0.500000,0.562000,0.529000,-0.082000,0.126000
15,NKT_logret,60,0.400000,0.394000,0.455000,0.455000,0.455000,-0.212000,0.119000
16,NKT_logret,60,0.500000,0.464000,0.543000,0.735000,0.625000,-0.085000,0.122000
17,NKT_logret,60,0.500000,0.486000,0.571000,0.571000,0.571000,-0.029000,0.108000
18,NKT_logret,60,0.550000,0.528000,0.639000,0.622000,0.630000,0.056000,0.110000
19,NKT_logret,60,0.567000,0.550000,0.657000,0.622000,0.639000,0.099000,0.106000
20,NKT_logret,60,0.500000,0.486000,0.556000,0.588000,0.571000,-0.027000,0.131000
1,VWS_logret,60,0.600000,0.598000,0.625000,0.625000,0.625000,0.196000,0.106000
2,VWS_logret,60,0.717000,0.717000,0.810000,0.567000,0.667000,0.454000,0.088000
3,VWS_logret,60,0.533000,0.545000,0.486000,0.667000,0.562000,0.093000,0.118000
4,VWS_logret,60,0.583000,0.583000,0.558000,0.800000,0.658000,0.185000,0.104000
5,VWS_logret,60,0.550000,0.549000,0.581000,0.562000,0.571000,0.098000,0.107000
