horizon,stock,n,DA,BA,P,R,F1,MCC,MAE
1,ENEL_logret,60,0.533000,0.529000,0.522000,0.414000,0.462000,0.061000,0.057000
2,ENEL_logret,60,0.500000,0.486000,0.417000,0.385000,0.400000,-0.027000,0.063000
3,ENEL_logret,60,0.550000,0.531000,0.476000,0.385000,0.426000,0.063000,0.064000
4,ENEL_logret,60,0.533000,0.516000,0.455000,0.385000,0.417000,0.033000,0.065000
5,ENEL_logret,60,0.483000,0.483000,0.483000,0.467000,0.475000,-0.033000,0.072000
6,ENEL_logret,60,0.450000,0.451000,0.438000,0.483000,0.459000,-0.098000,0.075000
7,ENEL_logret,60,0.417000,0.413000,0.375000,0.310000,0.340000,-0.177000,0.074000
8,ENEL_logret,60,0.433000,0.442000,0.400000,0.194000,0.261000,-0.135000,0.083000
9,ENEL_logret,60,0.483000,0.483000,0.500000,0.484000,0.492000,-0.033000,0.075000
10,ENEL_logret,60,0.383000,0.383000,0.348000,0.267000,0.302000,-0.240000,0.079000
11,ENEL_logret,60,0.383000,0.385000,0.385000,0.323000,0.351000,-0.231000,0.080000
12,ENEL_logret,60,0.450000,0.441000,0.357000,0.172000,0.233000,-0.139000,0.085000
13,ENEL_logret,60,0.500000,0.493000,0.458000,0.393000,0.423000,-0.014000,0.073000
14,ENEL_logret,60,0.450000,0.438000,0.360000,0.346000,0.353000,-0.125000,0.079000
15,ENEL_logret,60,0.400000,0.405000,0.381000,0.258000,0.308000,-0.199000,0.083000
16,ENEL_logret,60,0.417000,0.412000,0.364000,0.276000,0.314000,-0.182000,0.078000
17,ENEL_logret,60,0.467000,0.471000,0.406000,0.500000,0.448000,-0.058000,0.073000
18,ENEL_logret,60,0.533000,0.549000,0.487000,0.704000,0.576000,0.102000,0.070000
19,ENEL_logret,60,0.417000,0.417000,0.381000,0.267000,0.314000,-0.175000,0.075000
20,ENEL_logret,60,0.417000,0.413000,0.375000,0.310000,0.340000,-0.177000,0.074000
1,NKT_logret,60,0.567000,0.549000,0.585000,0.727000,0.649000,0.104000,0.107000
2,NKT_logret,60,0.383000,0.374000,0.469000,0.429000,0.448000,-0.248000,0.115000
3,NKT_logret,60,0.367000,0.347000,0.485000,0.432000,0.457000,-0.300000,0.123000
4,NKT_logret,60,0.433000,0.371000,0.548000,0.605000,0.575000,-0.272000,0.128000
5,NKT_logret,60,0.400000,0.396000,0.552000,0.410000,0.471000,-0.199000,0.128000
6,NKT_logret,60,0.433000,0.400000,0.556000,0.526000,0.541000,-0.198000,0.105000
7,NKT_logret,60,0.567000,0.542000,0.632000,0.667000,0.649000,0.085000,0.112000
8,NKT_logret,60,0.417000,0.389000,0.514000,0.528000,0.521000,-0.224000,0.127000
9,NKT_logret,60,0.517000,0.507000,0.606000,0.556000,0.580000,0.014000,0.120000
10,NKT_logret,60,0.550000,0.534000,0.575000,0.697000,0.630000,0.071000,0.126000
11,NKT_logret,60,0.467000,0.451000,0.500000,0.688000,0.579000,-0.111000,0.109000
12,NKT_logret,60,0.367000,0.362000,0.412000,0.438000,0.424000,-0.279000,0.127000
13,NKT_logret,60,0.450000,0.453000,0.481000,0.406000,0.441000,-0.094000,0.116000
14,NKT_logret,60,0.500000,0.498000,0.531000,0.531000,0.531000,-0.004000,0.116000
15,NKT_logret,60,0.483000,0.470000,0.526000,0.606000,0.563000,-0.063000,0.106000
16,NKT_logret,60,0.367000,0.364000,0.433000,0.382000,0.406000,-0.269000,0.128000
17,NKT_logret,60,0.517000,0.494000,0.579000,0.629000,0.603000,-0.012000,0.103000
18,NKT_logret,60,0.500000,0.496000,0.613000,0.514000,0.559000,-0.008000,0.097000
19,NKT_logret,60,0.583000,0.555000,0.658000,0.676000,0.667000,0.111000,0.114000
20,NKT_logret,60,0.533000,0.520000,0.583000,0.618000,0.600000,0.041000,0.115000
1,VWS_logret,60,0.567000,0.567000,0.600000,0.562000,0.581000,0.134000,0.099000
2,VWS_logret,60,0.650000,0.650000,0.667000,0.600000,0.632000,0.302000,0.091000
3,VWS_logret,60,0.600000,0.599000,0.552000,0.593000,0.571000,0.198000,0.090000
4,VWS_logret,60,0.617000,0.617000,0.621000,0.600000,0.610000,0.233000,0.092000
5,VWS_logret,60,0.533000,0.538000,0.577000,0.469000,0.517000,0.076000,0.090000
6,VWS_logret,60,0.600000,0.604000,0.652000,0.484000,0.556000,0.214000,0.101000
7,VWS_logret,60,0.633000,0.627000,0.684000,0.448000,0.542000,0.274000,0.099000
8,VWS_logret,60,0.650000,0.650000,0.667000,0.600000,0.632000,0.302000,0.098000
9,VWS_logret,60,0.550000,0.550000,0.565000,0.433000,0.491000,0.103000,0.100000
10,VWS_logret,60,0.533000,0.545000,0.600000,0.375000,0.462000,0.094000,0.112000
11,VWS_logret,60,0.583000,0.583000,0.552000,0.571000,0.561000,0.165000,0.109000
12,VWS_logret,60,0.667000,0.658000,0.682000,0.536000,0.600000,0.328000,0.113000
13,VWS_logret,60,0.550000,0.544000,0.481000,0.500000,0.491000,0.088000,0.107000
14,VWS_logret,60,0.500000,0.505000,0.524000,0.355000,0.423000,0.010000,0.109000
15,VWS_logret,60,0.567000,0.567000,0.591000,0.433000,0.500000,0.138000,0.108000
16,VWS_logret,60,0.500000,0.498000,0.481000,0.448000,0.464000,-0.003000,0.104000
17,VWS_logret,60,0.533000,0.536000,0.560000,0.452000,0.500000,0.073000,0.103000
18,VWS_logret,60,0.517000,0.509000,0.478000,0.393000,0.431000,0.018000,0.111000
19,VWS_logret,60,0.467000,0.463000,0.435000,0.345000,0.385000,-0.077000,0.114000
20,VWS_logret,60,0.567000,0.567000,0.591000,0.433000,0.500000,0.138000,0.110000
