horizon,stock,n,DA,BA,P,R,F1,MCC,MAE
1,ENEL_logret,60,0.483000,0.476000,0.438000,0.241000,0.311000,-0.055000,0.068000
2,ENEL_logret,60,0.617000,0.607000,0.560000,0.538000,0.549000,0.216000,0.052000
3,ENEL_logret,60,0.583000,0.546000,0.538000,0.269000,0.359000,0.112000,0.070000
4,ENEL_logret,60,0.567000,0.550000,0.500000,0.423000,0.458000,0.102000,0.056000
5,ENEL_logret,60,0.383000,0.383000,0.294000,0.167000,0.213000,-0.259000,0.080000
6,ENEL_logret,60,0.517000,0.513000,0.500000,0.414000,0.453000,0.027000,0.069000
7,ENEL_logret,60,0.483000,0.482000,0.464000,0.448000,0.456000,-0.036000,0.080000
8,ENEL_logret,60,0.500000,0.507000,0.529000,0.290000,0.375000,0.016000,0.076000
9,ENEL_logret,60,0.433000,0.434000,0.448000,0.419000,0.433000,-0.132000,0.077000
10,ENEL_logret,60,0.467000,0.467000,0.467000,0.467000,0.467000,-0.067000,0.070000
11,ENEL_logret,60,0.400000,0.406000,0.368000,0.226000,0.280000,-0.202000,0.091000
12,ENEL_logret,60,0.467000,0.467000,0.452000,0.483000,0.467000,-0.066000,0.073000
13,ENEL_logret,60,0.433000,0.429000,0.385000,0.357000,0.370000,-0.144000,0.082000
14,ENEL_logret,60,0.483000,0.467000,0.391000,0.346000,0.367000,-0.067000,0.078000
15,ENEL_logret,60,0.483000,0.486000,0.500000,0.419000,0.456000,-0.029000,0.088000
16,ENEL_logret,60,0.383000,0.377000,0.278000,0.172000,0.213000,-0.269000,0.082000
17,ENEL_logret,60,0.450000,0.460000,0.400000,0.538000,0.459000,-0.080000,0.074000
18,ENEL_logret,60,0.467000,0.468000,0.419000,0.481000,0.448000,-0.064000,0.077000
19,ENEL_logret,60,0.600000,0.600000,0.607000,0.567000,0.586000,0.200000,0.067000
20,ENEL_logret,60,0.383000,0.384000,0.375000,0.414000,0.393000,-0.232000,0.069000
1,NKT_logret,60,0.633000,0.630000,0.667000,0.667000,0.667000,0.259000,0.089000
2,NKT_logret,60,0.550000,0.557000,0.643000,0.514000,0.571000,0.113000,0.100000
3,NKT_logret,60,0.517000,0.468000,0.595000,0.676000,0.633000,-0.067000,0.117000
4,NKT_logret,60,0.450000,0.422000,0.571000,0.526000,0.548000,-0.152000,0.121000
5,NKT_logret,60,0.583000,0.493000,0.646000,0.795000,0.713000,-0.017000,0.108000
6,NKT_logret,60,0.517000,0.437000,0.596000,0.737000,0.659000,-0.148000,0.110000
7,NKT_logret,60,0.617000,0.583000,0.659000,0.750000,0.701000,0.176000,0.117000
8,NKT_logret,60,0.417000,0.396000,0.514000,0.500000,0.507000,-0.207000,0.131000
9,NKT_logret,60,0.517000,0.507000,0.606000,0.556000,0.580000,0.014000,0.121000
